sentinal	temp	gx	gy	gz	ax	ay	az	footer
-15235	-132	91	117	-2592	272	16736	-16067	169	301	113	-5216	-4000	15008	-16539	-213	138	66	-240	-1360	-16176	-16296	319	214	121	-1840	-4192	15888
-15204	-131	90	120	-2608	176	16576	-16065	167	315	112	-5184	-3904	15200	-16548	-217	143	64	-256	-1296	-16176	-16296	327	211	116	-1792	-4224	15904
-15239	-129	89	116	-2576	192	16720	-16078	167	314	111	-5184	-3968	15136	-16547	-213	128	63	-256	-1248	-16144	-16293	318	212	110	-1888	-4256	15952
-15224	-133	92	126	-2592	256	16560	-16059	166	310	112	-5152	-3968	15008	-16537	-219	150	71	-272	-1344	-16112	-16305	321	208	114	-1840	-4240	15920
-15232	-128	90	121	-2576	288	16592	-16059	166	312	119	-5200	-3984	15072	-16537	-205	143	73	-208	-1312	-16128	-16306	322	205	106	-1904	-4176	15824
-15232	-136	93	119	-2544	256	16640	-16045	164	307	120	-5232	-3936	15056	-16519	-207	137	72	-240	-1328	-16096	-16292	317	211	120	-1792	-4160	15760
-15240	-125	87	120	-2624	240	16576	-16072	172	320	111	-5248	-4016	15104	-16567	-206	144	72	-256	-1248	-16096	-16291	323	217	116	-1808	-4160	15952
-15233	-125	89	120	-2512	304	16528	-16071	161	314	115	-5136	-4048	15056	-16532	-215	145	65	-320	-1296	-16112	-16298	318	210	117	-1904	-4176	15872
-15230	-129	88	115	-2560	256	16544	-16082	178	301	112	-5152	-3952	15008	-16549	-211	139	66	-320	-1312	-16192	-16265	321	210	115	-1856	-4192	15920
-15215	-129	95	121	-2480	192	16560	-16068	178	305	118	-5200	-3984	15072	-16523	-214	141	71	-304	-1312	-16144	-16287	324	211	122	-1856	-4144	15824
-15224	-126	97	116	-2592	304	16656	-16068	177	317	108	-5184	-3968	15056	-16518	-211	140	63	-224	-1312	-16256	-16288	324	207	118	-1808	-4176	16048
-15229	-132	94	117	-2592	192	16656	-16047	164	304	107	-5136	-4032	15184	-16530	-213	129	66	-256	-1296	-16192	-16287	320	213	116	-1840	-4192	16016
-15225	-134	89	125	-2592	256	16592	-16068	174	307	115	-5152	-4032	15248	-16551	-213	138	69	-256	-1232	-16160	-16292	320	219	119	-1888	-4144	15840
-15234	-128	90	119	-2640	352	16592	-16068	166	303	118	-5216	-3952	15040	-16549	-211	142	66	-272	-1264	-16144	-16284	322	216	115	-1856	-4160	15696
-15226	-127	92	119	-2576	160	16560	-16056	170	301	117	-5152	-4000	15120	-16549	-219	135	62	-288	-1376	-16128	-16287	321	206	113	-1904	-4160	15808
-15224	-129	91	119	-2624	224	16640	-16076	167	301	111	-5264	-4064	15184	-16526	-216	143	64	-192	-1232	-16176	-16297	324	207	111	-1824	-4192	15904
-15229	-138	93	119	-2608	272	16608	-16079	164	301	110	-5200	-3984	15056	-16525	-210	134	66	-208	-1296	-16160	-16302	320	210	120	-1792	-4192	15840
-15211	-133	89	118	-2624	256	16704	-16084	167	301	103	-5264	-4000	15120	-16543	-216	142	73	-288	-1328	-16112	-16291	316	211	122	-1824	-4240	16000
-15221	-137	88	118	-2464	304	16640	-16067	167	316	109	-5136	-4000	15136	-16527	-211	135	68	-208	-1280	-16192	-16286	324	213	119	-1824	-4208	15888
-15225	-137	86	117	-2624	224	16704	-16065	171	308	115	-5120	-3952	15104	-16527	-217	135	66	-240	-1312	-16256	-16276	316	206	122	-1888	-4208	15952
-15237	-129	99	130	-2528	192	16528	-16075	165	302	115	-5264	-4048	15184	-16534	-210	131	65	-304	-1232	-16192	-16285	315	202	123	-1952	-4144	15808
-15218	-129	97	123	-2512	208	16544	-16070	166	306	115	-5248	-3952	15056	-16533	-201	138	66	-288	-1312	-16144	-16274	315	205	110	-1840	-4160	15984
-15220	-134	88	115	-2576	224	16640	-16057	171	306	109	-5152	-4064	15120	-16550	-213	135	65	-272	-1344	-16160	-16285	318	204	115	-1744	-4192	15888
-15238	-128	90	118	-2640	224	16656	-16068	163	312	107	-5168	-3984	15104	-16542	-210	136	63	-208	-1280	-16176	-16291	321	213	119	-1888	-4208	15888
-15223	-130	96	115	-2512	144	16720	-16065	168	312	113	-5264	-3920	15152	-16530	-200	135	61	-320	-1280	-16208	-16279	322	218	111	-1808	-4144	15904
-15240	-135	89	118	-2672	192	16688	-16074	175	310	114	-5200	-3920	15120	-16513	-201	131	65	-272	-1280	-16208	-16292	323	209	114	-1872	-4240	15936
-15245	-126	88	126	-2576	240	16752	-16044	168	322	117	-5216	-4048	15008	-16538	-212	135	61	-208	-1232	-16256	-16294	318	206	117	-1872	-4192	15872
-15238	-132	93	119	-2512	208	16688	-16053	181	314	117	-5200	-3984	15168	-16528	-215	145	66	-288	-1296	-16224	-16285	312	207	116	-1808	-4208	16016
-15240	-129	97	122	-2608	192	16656	-16064	168	314	116	-5216	-3968	15120	-16531	-208	141	65	-320	-1296	-16192	-16318	323	211	120	-1888	-4256	15968
-15237	-131	89	112	-2576	240	16656	-16084	168	321	116	-5152	-4032	14960	-16516	-206	142	65	-256	-1296	-16272	-16297	321	215	113	-1728	-4224	15840
-15224	-142	95	124	-2544	176	16656	-16071	163	307	112	-5200	-3984	15104	-16547	-206	134	65	-160	-1296	-16112	-16302	318	216	118	-1760	-4192	15952
-15239	-138	94	123	-2464	224	16464	-16067	167	304	106	-5216	-3920	15152	-16510	-211	138	65	-224	-1296	-16096	-16277	328	205	114	-1760	-4208	15792
-15234	-130	95	125	-2624	256	16592	-16073	172	318	116	-5232	-3952	15120	-16536	-213	140	63	-288	-1296	-16176	-16291	315	208	113	-1888	-4240	15840
-15237	-127	87	128	-2560	272	16528	-16071	174	310	110	-5216	-3936	15136	-16531	-216	138	65	-288	-1232	-16096	-16281	319	207	115	-1920	-4128	15872
-15231	-128	91	119	-2528	224	16656	-16066	172	306	110	-5152	-4032	15072	-16544	-212	128	67	-272	-1312	-16032	-16291	319	209	110	-1936	-4288	15936
-15226	-137	81	124	-2576	336	16544	-16074	168	311	110	-5136	-3952	15056	-16557	-204	133	66	-288	-1312	-16208	-16293	320	208	115	-1808	-4112	15888
-15222	-133	87	124	-2544	272	16640	-16067	169	310	108	-5184	-3936	15088	-16546	-204	132	69	-288	-1328	-16272	-16287	324	209	119	-1744	-4192	16032
-15237	-123	89	125	-2656	160	16480	-16051	168	317	117	-5184	-4064	15056	-16517	-207	135	69	-288	-1296	-16048	-16272	326	216	120	-1760	-4240	15888
-15226	-124	92	123	-2560	224	16624	-16073	167	305	109	-5200	-3872	15056	-16530	-217	136	71	-272	-1232	-16128	-16300	322	209	117	-1904	-4224	15888
-15218	-128	88	114	-2592	176	16704	-16054	170	313	113	-5184	-3968	15168	-16536	-207	126	62	-224	-1296	-16192	-16295	325	211	112	-1744	-4064	15824
-15239	-129	91	123	-2544	208	16736	-16054	170	307	105	-5248	-4032	15152	-16552	-206	136	74	-304	-1360	-16176	-16301	321	207	120	-1840	-4272	15824
-15217	-129	88	116	-2576	128	16704	-16049	167	315	110	-5152	-4080	15088	-16552	-210	138	61	-304	-1328	-16272	-16288	327	210	117	-1872	-4240	15872
-15232	-128	86	117	-2608	224	16640	-16053	166	307	113	-5216	-4016	15184	-16517	-213	143	66	-288	-1248	-16208	-16281	323	214	115	-1760	-4160	15952
-15220	-132	86	123	-2608	208	16656	-16061	166	323	108	-5200	-4032	15120	-16541	-202	144	66	-288	-1248	-16144	-16292	326	212	110	-1808	-4224	15888
-15214	-130	85	122	-2592	176	16640	-16075	166	324	111	-5168	-4000	15024	-16547	-207	140	72	-208	-1216	-16208	-16285	325	209	122	-1872	-4224	16000
-15215	-127	88	118	-2544	256	16704	-16100	167	311	115	-5264	-4016	15104	-16517	-212	140	68	-256	-1232	-16208	-16302	326	212	118	-1824	-4176	15952
-15221	-129	99	124	-2512	240	16640	-16059	166	309	114	-5200	-4016	15088	-16541	-210	132	62	-288	-1296	-16144	-16314	318	206	113	-1808	-4176	15888
